Factor Diagnose (IC + TopK Alpha)
Date Range: 20230101 ~ 20241231
Universe: prefixes=('300', '688')
Predict Days: 5 | Step: 5 | TopK: 30 | MinN: 300
Masked Factors: ['ff_hml', 'ff_mkt', 'ff_smb', 'ff_smb_cov_60']
Computed At: 2025-12-27 21:52:38

Factors Evaluated: 40 | Diagnose Days: 96

===== Year 2023 (n_days=48) =====

Top 20 (IC Mean 最大)
         factor  ic_mean    ic_ir   ic_pos  top30_alpha_5d_mean  alpha_ir 方向建议
      pv_corr_20 -0.04150 -0.33183  0.35417             -0.00506  -0.16881   反转
       william_r -0.04122 -0.29243  0.34375             -0.00408  -0.15015   反转
           kdj_k -0.04058 -0.26838  0.34375             -0.00436  -0.15875   反转
           kdj_j -0.03996 -0.27910  0.41667             -0.00261  -0.10021   反转
         pv_corr -0.03966 -0.31444  0.33333             -0.00092  -0.02875   反转
        macd_dea -0.03868 -0.27868  0.37500             -0.00207  -0.05873   反转
           vr_24 -0.03661 -0.27282  0.41667             -0.00141  -0.04491   反转
           kdj_d -0.03628 -0.23435  0.35417             -0.00655  -0.23130   反转
        ma5_bias -0.03577 -0.24670  0.35417             -0.00694  -0.19250   反转
 candle_body_abs -0.03420 -0.32168  0.31250             -0.00788  -0.27136   反转
     candle_body -0.03289 -0.24637  0.37500             -0.00929  -0.29878   反转
    shadow_lower -0.03188 -0.28312  0.32292             -0.00319  -0.10410   反转
